test,statistic,statistic_se,null_mean,null_std,p_value,p_value_mc_se,holm_adjusted_p,reject_holm_0_05,n_years,n_sims
A,138.9898,0.3513,139.8286,6.2865,0.538281,0.000499,1.000000,0,20,1000000
A_pre2019,76.6458,0.0855,77.6233,5.3364,0.554927,0.000497,1.000000,0,13,1000000
A_post2019,63.5225,0.4107,62.2089,3.3080,0.330216,0.000470,1.000000,0,7,1000000
T1,4,,4.2300,,1.000000,,1.000000,0,20,exact
